name,address,phone
Kawa Cafe,N/A,N/A
Crossroad Cafe,"behind Bhaktidham Temple, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607",081494 01132
Cafe Vibe,"Backside of Dmart, above Salasar Ice Cream parlour, Sai Nagar, Amravati, Maharashtra 444607",N/A
Kawa Cafe,N/A,N/A
Cafe Prime Time,"Signature Heights, Congress Nagar Rd, behind Shree Shekhawat's Bungalow, Amravati, Maharashtra 444601",072619 18111
Capt's Cafe Beans The Coffee Lounge,"Venus Plasa, Shegaon Naka Rd, Rathi Nagar, Squre, Amravati, Maharashtra 444601",078228 40771
Beyond Temptation cafe,"Rashi Green Park Court Road, SRPF Camp Rd, above Mr idli and chat, opposite NCC Canteen, Amravati, Maharashtra 444602",N/A
Pizza Street Cafe,"M A Hall, Khatri Complex, Ground Floor, Shop No.1, Mother Teresa Rd, Near I, Amravati, Maharashtra 444603",088069 47655
High Octane The coffee bar,"Vivekanand Colony, Amravati, Maharashtra 444606",073044 54641
Cafe Roots,"Shivneri Colony, Amravati, Maharashtra 444602",N/A
